Designator,Mid X,Mid Y,Layer,Rotation
C1,24.49,26.39,TOP,180,10nF,C1206,
C2,29.89,6.68,TOP,0,0.1uF,C0603,
C3,7.63,8.90,TOP,270,100nF,C0603,
C4,19.72,4.13,TOP,90,0.1uF,C0603,
C6,7.65,3.71,TOP,270,100nF,C0603,
C7,15.90,15.90,TOP,180,0.1uF,C0603,
C8,22.58,5.09,TOP,180,22pF,C0603,
C9,25.76,5.09,TOP,0,22pF,C0603,
C10,8.70,26.08,TOP,180,100nF,C0603,
D1,8.90,13.04,TOP,0,
D2,3.50,23.53,TOP,270,
F1,8.27,28.30,TOP,0,16V/1A,1206,
F2,14.75,13.04,TOP,180,6V/0.5A,1206,
GND,25.76,31.16,TOP,180,6,"SMD1,27-2,54",
IC3,8.90,21.68,TOP,270,
JP1,4.77,11.13,TOP,180,JMP,SMT-JUMPER_2_NO_NO-SILK,
JP2,4.77,8.90,TOP,180,JMP,SMT-JUMPER_2_NO_NO-SILK,
LED1,14.31,23.21,TOP,270,
LED6,16.22,23.21,TOP,270,
MOSI,23.21,31.16,TOP,180,4,"SMD1,27-2,54",
R1,16.22,19.72,TOP,90,1k,R0603,
R2,20.99,26.39,TOP,270,10K,R0603@1,
R3,15.08,3.82,TOP,90,10K,R0603@1,
R4,15.08,8.59,TOP,90,10K,R0603@1,
R5,13.04,8.59,TOP,270,10K,R0603@1,
R6,18.76,26.39,TOP,270,4.7K,R0603@1,
R7,14.31,19.72,TOP,90,1k,R0603,
R11,13.04,3.83,TOP,270,10K,R0603@1,
U1,10.49,8.90,TOP,270,
U2,10.49,3.82,TOP,270,
U3,23.21,17.81,TOP,270,
VCC,20.67,31.16,TOP,180,2,"SMD1,27-2,54",
